,a_1,b_1,c_1,d_1,a_2,b_2,c_2,d_2,hidden_dim,ratio_rewritings_multiplication,ratio_nnz_mn
56289,1,16,32,896,8,3584,512,1,28672,0.005005411255411255,0.2578125
44881,1,512,1024,28,256,112,16,1,28672,0.005005411255411255,0.2578125
112019,1,14,28,1024,8,3584,512,1,28672,0.005024443237370994,0.2568359375
54013,1,512,1024,28,512,56,8,1,28672,0.005082417582417583,0.25390625
136637,1,8,16,1792,8,3584,512,1,28672,0.005082417582417583,0.25390625
116261,1,7,14,2048,8,3584,512,1,28672,0.005092210294522433,0.25341796875
93171,1,448,936,32,64,468,64,1,29952,0.005108173076923077,0.2611607142857143
86269,1,256,534,56,16,1869,256,1,29904,0.005110102327447833,0.2607421875
53691,1,448,934,32,64,467,64,1,29888,0.005110746788008566,0.26060267857142855
161901,1,448,932,32,64,466,64,1,29824,0.005113331545064378,0.26004464285714285
179081,1,256,532,56,16,1862,256,1,29792,0.005114628088077337,0.259765625
61091,1,448,930,32,64,465,64,1,29760,0.005115927419354838,0.25948660714285715
65520,1,448,928,32,64,464,64,1,29696,0.0051185344827586205,0.25892857142857145
147314,1,256,530,56,16,1855,256,1,29680,0.0051191880053908356,0.2587890625
191027,1,448,926,32,64,463,64,1,29632,0.005121152807775378,0.2583705357142857
11516,1,512,1024,28,1024,28,4,1,28672,0.0051218161683277965,0.251953125
4435,1,4,8,3584,8,3584,512,1,28672,0.0051218161683277965,0.251953125
2441,1,448,924,32,64,462,64,1,29568,0.005123782467532468,0.2578125
138362,1,256,528,56,16,1848,256,1,29568,0.005123782467532468,0.2578125
66050,1,448,922,32,64,461,64,1,29504,0.005126423535791757,0.2572544642857143
75507,1,256,526,56,16,1841,256,1,29456,0.005128411868549701,0.2568359375
38558,1,448,920,32,64,460,64,1,29440,0.005129076086956522,0.25669642857142855
127014,1,448,918,32,64,459,64,1,29376,0.005131740196078431,0.25613839285714285
144418,1,256,524,56,16,1834,256,1,29344,0.005133076608505998,0.255859375
126957,1,448,916,32,64,458,64,1,29312,0.005134415938864629,0.25558035714285715
141358,1,448,914,32,64,457,64,1,29248,0.005137103391684901,0.25502232142857145
191809,1,256,522,56,16,1827,256,1,29232,0.005137777093596059,0.2548828125
178185,1,448,912,32,64,456,64,1,29184,0.005139802631578948,0.2544642857142857
112673,1,512,1024,28,2048,14,2,1,28672,0.005141745414118955,0.2509765625
191946,1,2,4,7168,8,3584,512,1,28672,0.005141745414118955,0.2509765625
648,1,448,910,32,64,455,64,1,29120,0.005142513736263736,0.25390625
20082,1,256,520,56,16,1820,256,1,29120,0.005142513736263736,0.25390625
137720,1,448,908,32,64,454,64,1,29056,0.005145236784140969,0.2533482142857143
101214,1,256,518,56,16,1813,256,1,29008,0.00514728695532267,0.2529296875
57639,1,448,906,32,64,453,64,1,28992,0.005147971854304636,0.25279017857142855
77406,1,448,904,32,64,452,64,1,28928,0.005150719026548673,0.25223214285714285
136905,1,1,2,14336,8,3584,512,1,28672,0.005151768309663046,0.25048828125
181957,1,512,1024,28,4096,7,1,1,28672,0.005151768309663046,0.25048828125
165012,1,256,516,56,16,1806,256,1,28896,0.005152097176079735,0.251953125
145929,1,448,902,32,64,451,64,1,28864,0.005153478381374723,0.25167410714285715
14291,1,448,900,32,64,450,64,1,28800,0.00515625,0.25111607142857145
73589,1,256,514,56,16,1799,256,1,28784,0.005156944830461367,0.2509765625
86235,1,448,898,32,64,449,64,1,28736,0.005159033964365256,0.2505580357142857
82246,1,448,896,32,64,448,64,1,28672,0.005161830357142857,0.25
154745,1,256,512,56,16,1792,256,1,28672,0.005161830357142857,0.25
